Title,redump_name,serial,MCPFile,EMUFile,PSPSerial,Language,Developer,Genre,Publisher,Release_Date,Region,uuid,Filename
Ace Combat,Ace Combat (Japan),SLPS-00061,SLPS-00061-1.mcd,SLPS-00061_1.mcd,SLPS00061,Japanese,Namco,Action / Shooter,Namco,6/30/1995,NTSC-J,1995-05-17-00-00-00-00,
Ace Combat 2,Ace Combat 2 (Europe),SCES-00699,SCES-00699-1.mcd,SCES-00699_1.mcd,SCES00699,English,Namco,Flight Simulator / Shooter,Sony,9/10/1997,PAL,1997-08-08-01-02-00-00,
Ace Combat 2,Ace Combat 2 (France),SCES-00901,SCES-00901-1.mcd,SCES-00901_1.mcd,SCES00901,French,Namco,Flight Simulator / Shooter,Sony,9/10/1997,PAL,1997-08-08-01-01-00-00,
Ace Combat 2,Ace Combat 2 (Germany),SCES-00902,SCES-00902-1.mcd,SCES-00902_1.mcd,SCES00902,German,Namco,Flight Simulator / Shooter,Sony,9/10/1997,PAL,1997-08-08-01-01-00-00,
Ace Combat 2,Ace Combat 2 (Japan),SLPS-00830,SLPS-00830-1.mcd,SLPS-00830_1.mcd,SLPS00830,Japanese,Namco,Flight Simulator / Shooter,Namco,5/30/1997,NTSC-J,1997-07-10-03-01-00-00,
Ace Combat 2,Ace Combat 2 (Japan) (Rev 1),SLPS-00830,SLPS-00830-1.mcd,SLPS-00830_1.mcd,SLPS00830,Japanese,Namco,Flight Simulator / Shooter,Namco,5/30/1997,NTSC-J,1997-07-10-03-01-00-00,
Ace Combat 2,Ace Combat 2 (USA),SLUS-00404,SLUS-00404-1.mcd,SLUS-00404_1.mcd,SLUS00404,English,Namco,Flight Simulator / Shooter,Namco,8/15/1997,NTSC-U,1997-07-16-01-02-00-00,
Ace Combat 3: Electrosphere: Direct Audio with AppenDisc,Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan),SLPM-80453,SLPM-80453-1.mcd,SLPM-80453_1.mcd,SLPM80453,Japanese,N/A,N/A,N/A,N/A,NTSC-J,1999-06-22-19-00-00-00,
Ace Combat 3: Electrosphere,"Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)",SCES-02066,SCES-02066-1.mcd,SCES-02066_1.mcd,SCES02066,English / French / German / Italian / Spanish,Namco,Shooter / Action / Simulation,Sony,3/20/2000,PAL,1999-12-11-01-02-00-00,
Ace Combat 3: Electrosphere (Disc 1),Ace Combat 3 - Electrosphere (Japan) (Disc 1),SLPS-02020,SLPS-02020-1.mcd,SLPS-02020_1.mcd,SLPS02020,Japanese,Namco,Shooter / Action / Simulation,Namco,5/27/1999,NTSC-J,1999-05-20-02-00-00-00,
Ace Combat 3: Electrosphere (Disc 1),"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",SLPS-02020,SLPS-02020-1.mcd,SLPS-02020_1.mcd,SLPS02020,Japanese,Namco,Shooter / Action / Simulation,Namco,5/27/1999,NTSC-J,1999-05-20-02-00-00-00,
Ace Combat 3: Electrosphere (Disc 2),Ace Combat 3 - Electrosphere (Japan) (Disc 2),SLPS-02021,SLPS-02021-1.mcd,SLPS-02021_1.mcd,SLPS02021,Japanese,Namco,Shooter / Action / Simulation,Namco,5/27/1999,NTSC-J,1999-05-20-02-00-00-00,
